Mass,Hex,HexNAc,Fuc,NeuAc,Class,1D_2_compositional,2D_2_compositional,3D_2_compositional,4D_2_compositional,5D_2_compositional,6D_2_compositional,7D_2_compositional,,
2077.74546,5,4,1,1,CH-FS,12.93028144,6.567240946,16.41371748,6.294691186,16.61324864,6.583429091,15.27214374,,5411
1720.59176,8,2,0,0,HM,7.6257969,12.55511982,6.573987909,4.584295329,8.879244817,9.108500008,7.251724153,,8200
2368.84086,5,4,1,2,C-FS,6.988891812,3.280595853,8.172793697,0,10.48988087,3.505498492,10.21566975,,5412
1558.53896,7,2,0,0,HM,6.74259314,10.50003792,5.182720193,2.631108744,8.372461836,8.532489538,7.871332136,,7200
1396.48616,6,2,0,0,HM,6.438374346,8.921038962,4.855435632,0,6.08282093,7.902721067,6.025647893,,6200
1882.64456,9,2,0,0,HM,5.458710734,7.231936078,5.212699018,5.300055005,6.296792851,6.784106484,5.652070366,,9200
1234.43336,5,2,0,0,HM,5.33016968,4.484231726,3.94540998,0,4.877314549,6.228056891,4.995891205,,5200
2733.97306,6,5,1,2,CH-FS,4.381573319,1.41894228,3.677109923,1.847732026,3.40531576,2.798940853,5.384348847,,6512
3099.10526,7,6,1,2,C-FS,4.046445854,3.333263017,3.790743472,0,4.169713131,3.342661435,3.363018974,,7612
1931.68756,5,4,0,1,CH-S,3.726191265,1.923666038,4.089624115,0,4.152926668,2.200377702,3.85883947,,5401
1786.65006,5,4,1,0,CH-F,3.461156132,4.174650241,2.085433912,2.523902449,3.378191078,4.618698198,2.956629852,,5410
3390.20066,7,6,1,3,C-FS,3.22632327,2.909443965,4.594914777,45.17203808,0.869122942,0,3.095651563,,7613
2808.00986,7,6,1,1,C-FS,2.836831719,2.923977651,3.095671655,0,2.811341295,3.674029543,2.86835875,,7611
2151.78226,6,5,1,0,CH-F,2.263526797,4.156820495,1.390497143,0,1.635716454,4.598250859,1.540924422,,6510
2516.91446,7,6,1,0,C-F,1.929951493,2.824925226,0.959509084,0,0.79215286,4.083414935,1.015298491,,7610
1640.59216,5,4,0,0,CH,1.926289738,2.501011697,1.123934846,0,1.110710173,2.858775637,1.112814099,,5400
3025.06846,6,5,1,3,C-FS,1.756296849,1.057166713,2.826021112,11.15541059,0.636553908,0,1.532267586,,6513
2442.87766,6,5,1,1,CH-FS,1.718857567,1.839992642,2.968155894,0,3.519234752,2.559569821,2.692502163,,6511
1989.72946,5,5,1,0,CH-F,1.165452024,1.956207846,0.26735273,0,0.28997243,2.862316439,0.408656927,,5510
2222.78296,5,4,0,2,C-S,1.150045743,0.467140917,1.611069402,0,1.881076843,0.562700561,1.785274744,,5402
910.32776,3,2,0,0,HM,0.86584166,0.974214572,0.575164461,0,0.51275228,0.581489145,0.624347017,,3200
1072.38056,4,2,0,0,HM,0.717011985,0.958556347,0.587507515,0,0.598869057,0.777995729,0.603801157,,4200
2280.82486,5,5,1,1,CH-FS,0.692585869,0.734207102,0.321630391,0,0.220128126,1.50193839,0.059761555,,5511
2044.69736,10,2,0,0,HM,0.607298695,0.71966566,0.465423492,0,0.671061364,0.725425971,0.762261196,,10200
3173.14206,8,7,1,1,C-FS,0.573559611,0.428922129,0.421270512,0,0,0,0.180957265,,8711
2296.81976,6,5,0,1,CH-S,0.557855392,0.293814683,0.681666248,0,0.244928169,0.795851264,0.413154865,,6501
3377.24186,8,8,3,0,C-F,0.543818665,0,0,0,0,0,0,,8830
