Mass,Hex,HexNAc,Fuc,NeuAc,Class,LPS_Ctr_compositional,LPS_Treat_compositional
2077.74546,5,4,1,1,CH-FS,14.6993111949,10.318903995,
2151.78226,6,5,1,0,CH-F,7.63197791443,2.06716342621,
2808.00986,7,6,1,1,C-FS,7.6120865268,5.21354022786,
1786.65006,5,4,1,0,CH-F,7.50674080264,3.28274886528,
2516.91446,7,6,1,0,C-F,7.45814276175,2.73857056005,
2442.87766,6,5,1,1,CH-FS,5.05762807846,2.3227091865,
2368.84086,5,4,1,2,C-FS,4.41758699611,9.67233307786,
1931.68756,5,4,0,1,CH-S,4.3877018314,1.62681445149,
3099.10526,7,6,1,2,C-FS,4.37592048815,10.8274284374,
2005.72436,6,5,0,0,CH,2.03889268799,0.469072783003,
2296.81976,6,5,0,1,CH-S,1.99164474981,1.11458200732,
2223.80336,5,4,2,1,CH-FS,1.87136869981,0.743924449729,
2882.04666,8,7,1,0,C-F,1.86421089268,0,
1640.59216,5,4,0,0,CH,1.8589217333,0.946755313614,
2733.97306,6,5,1,2,CH-FS,1.59915329704,4.71651481642,
2370.85656,7,6,0,0,C,1.56594944408,0.0227814978109,
1720.59176,8,2,0,0,HM,1.24316364365,6.10591679815,
2661.95196,7,6,0,1,C-S,1.23442568837,0.693665708326,
1421.51786,4,3,1,0,CH-F,1.23351493472,0.263268122858,
3247.17886,9,8,1,0,C-F,1.14008443271,0,
1558.53896,7,2,0,0,HM,0.911577662528,4.42478170592,
2587.91516,6,5,0,2,CH-S,0.908070412458,2.54279651997,
1932.70796,5,4,2,0,CH-F,0.889857225129,0.137613346271,
2280.82486,5,5,1,1,CH-FS,0.828578401049,0.248895654613,
1882.64456,9,2,0,0,HM,0.718396065906,3.57673213068,
2297.84016,6,5,2,0,CH-F,0.645330241724,0.132468625921,
1396.48616,6,2,0,0,HM,0.627873187341,3.4940838357,
2953.04736,7,6,0,2,C-S,0.623677686585,1.235430115,
1259.46506,3,3,1,0,C-F,0.607529251314,0.0455101750842,
3173.14206,8,7,1,1,C-FS,0.602407911964,0,
1989.72946,5,5,1,0,CH-F,0.540776477258,0.129669137435,
1712.61326,4,3,1,1,C-FS,0.515912714125,0.245742268526,
2588.93556,6,5,2,1,CH-FS,0.479169555591,0,
2222.78296,5,4,0,2,C-S,0.45522220296,2.40488737869,
1234.43336,5,2,0,0,HM,0.442433939531,2.53136615566,
2354.86166,6,6,1,0,C-F,0.426775765023,0,
2662.97236,7,6,2,0,C-F,0.402368321522,0,
2735.98876,8,7,0,0,C,0.400490245678,0,
3538.27426,9,8,1,1,C-FS,0.372856509236,0,
3612.33616,8,7,6,0,C-F,0.360963914507,0,
